signal_time,相对强弱信号,BTCUSDT,ETHUSDT,SOLUSDT,,处理后等权持仓,BTCUSDT,ETHUSDT,SOLUSDT,,return,diff,pnl
2025/7/24 17:30,,0.000353932,0.07937801,-0.12402904,,,0,0.5,-0.5,,5.11E-05,0.000943156,0.0905%
2025/7/24 17:35,,-0.008604169,0.06906521,-0.116348565,,,0,0.5,-0.5,,0.000124243,0.001870031,0.1029%
2025/7/24 17:40,,0.004623413,0.07764959,-0.12865591,,,0,0.5,-0.5,,4.83E-05,0.00147392,0.1078%
2025/7/24 17:45,,0.005991578,0.08632231,-0.13429427,,,0,0.5,-0.5,,-7.19E-05,0.001713216,0.1006%
2025/7/24 17:50,,0.002060771,0.097845435,-0.0997237,,,0,0.5,-0.5,,-0.000109114,0.001179205,0.0896%
2025/7/24 17:55,,0.002644897,0.088326454,-0.11772019,,,0,0.5,-0.5,,5.76E-05,0.001256422,0.0954%
2025/7/24 18:00,,-0.001740158,0.062015295,-0.1361407,,,0,0.5,-0.5,,-2.04E-05,0.001052082,0.0934%
2025/7/24 18:05,,0.019469261,0.042330265,-0.13328516,,,0,0.5,-0.5,,0.000141743,0.00310563,0.1075%
2025/7/24 18:10,,0.017300367,0.08728552,-0.12875956,,,0,0.5,-0.5,,-0.000172808,0.003090746,0.0903%
2025/7/24 18:15,,0.012993813,0.09045994,-0.14100403,,,0,0.5,-0.5,,-6.06E-05,0.002622159,0.0842%
2025/7/24 18:20,,0.006430984,0.07158542,-0.12759995,,,0,0.5,-0.5,,-1.07E-05,0.001656514,0.0831%
2025/7/24 18:25,,0.011566401,0.07296181,-0.1188035,,,0,0.5,-0.5,,7.66E-05,0.002266001,0.0908%
2025/7/24 18:30,,0.011394262,0.07618415,-0.11202943,,,0,0.5,-0.5,,6.26E-05,0.002240659,0.0970%
2025/7/24 18:35,,-0.011819303,0.067392945,-0.12430853,,,0,0.5,-0.5,,3.37E-05,0.002282942,0.1004%
2025/7/24 18:40,,0.008677125,0.09268582,-0.11113405,,,0,0.5,-0.5,,0.000139067,0.002001569,0.1143%
2025/7/24 18:45,,0.000174999,0.07838762,-0.12920105,,,0,0.5,-0.5,,-2.09E-05,0.000933078,0.1122%
2025/7/24 18:50,,0.010259271,0.05421555,-0.106466234,,,0,0.5,-0.5,,-5.84E-05,0.001951195,0.1064%
2025/7/24 18:55,,0.011684179,0.06770003,-0.1382997,,,0,0.5,-0.5,,-0.000129047,0.002316358,0.0935%
2025/7/24 19:00,,0.000173688,0.07362962,-0.13493729,,,0,0.5,-0.5,,9.84E-05,0.000924375,0.1033%
2025/7/24 19:05,,0.028811336,0.06852889,-0.12271577,,,0,0.5,-0.5,,0.000202207,0.004374063,0.1235%
2025/7/24 19:10,,0.010071993,0.07812178,-0.12276614,,,0,0.5,-0.5,,-5.30E-05,0.002126555,0.1182%
2025/7/24 19:15,,0.017982483,0.077393055,-0.12861437,,,0,0.5,-0.5,,-1.13E-05,0.003115284,0.1171%
2025/7/24 19:20,,0.003130913,0.0835762,-0.13694859,,,0,0.5,-0.5,,-8.18E-05,0.001354191,0.1089%
2025/7/24 19:25,,0.02099502,0.07482386,-0.15476811,,,0,0.5,-0.5,,-0.000100071,0.003560628,0.0989%
2025/7/24 19:30,,-0.00148958,0.07742858,-0.1101377,,,0,0.5,-0.5,,0.000134827,0.001023365,0.1124%
2025/7/24 19:35,,-0.012716293,0.062684774,-0.11099815,,,0,0.5,-0.5,,-8.22E-05,0.002319387,0.1042%
2025/7/24 19:40,,-0.012440026,0.06919241,-0.13175309,,,0,0.5,-0.5,,4.47E-05,0.002395642,0.1087%
2025/7/24 19:45,,-0.005401373,0.063442826,-0.124005795,,,0,0.5,-0.5,,5.04E-05,0.001469055,0.1137%
2025/7/24 19:50,,-0.003168583,0.045022845,-0.112876415,,,0,0.5,-0.5,,3.72E-05,0.001046506,0.1174%
2025/7/24 19:55,,0.022751808,0.08718467,-0.111585855,,,0,0.5,-0.5,,3.55E-05,0.003701444,0.1210%
2025/7/24 20:00,,-0.00505662,0.041109085,-0.11203295,,,0,0.5,-0.5,,-2.20E-05,0.001252523,0.1188%
2025/7/24 20:05,,-0.020753264,0.05509591,-0.110596836,,,0,0.5,-0.5,,-0.000129787,0.003261323,0.1058%
2025/7/24 20:10,,-0.019582212,0.08313191,-0.11931634,,,0,0.5,-0.5,,1.62E-05,0.003314138,0.1074%
