signal_time,return,diff,pnl
1753831500,-0.000362154,0.00286623,2.0617%
1753831800,-0.000165533,0.001991428,2.0451%
1753832100,0.000564338,0.003318488,2.1016%
1753832400,-0.0006015,0.002480576,2.0414%
1753832700,0.000531596,0.002880938,2.0946%
1753833000,0.000694904,0.001149265,2.1641%
1753833300,-0.000254002,0.002731718,2.1387%
1753833600,-9.47E-05,0.001192206,2.1292%
1753833900,-7.40E-05,0.003671929,2.1218%
1753834200,0.000220641,0.001972677,2.1439%
1753834500,0.000294295,0.001310272,2.1733%
1753834800,-0.000595453,0.001408306,2.1138%
1753835100,-0.001945722,0.001683126,1.9192%
1753835400,0.000890733,0.002767091,2.0083%
1753835700,0.000894876,0.002559979,2.0978%
1753836000,0.000369883,0.001370692,2.1347%
1753836300,-0.000750766,0.001914094,2.0597%
1753836600,0.001288133,0.003312684,2.1885%
1753836900,0.000384872,0.002804522,2.2270%
1753837200,0.000530168,0.001099138,2.2800%
1753837500,-4.41E-05,0.000707202,2.2756%
1753837800,0.001565029,0.001532598,2.4321%
1753838100,-0.001375167,0.00238359,2.2946%
1753838400,0.000130995,0.001502127,2.3077%
1753838700,0.000652448,0.002209493,2.3729%
1753839000,0.000169724,0.001048701,2.3899%
1753839300,-0.00231356,0.001191327,2.1585%
1753839600,0.001575652,0.001022266,2.3161%
1753839900,-3.95E-05,0.001391541,2.3121%
1753840200,-0.001375944,0.001408309,2.1745%
1753840500,-0.000801372,0.001158389,2.0944%
1753840800,-0.000767645,0.001810586,2.0176%
1753841100,0.00042905,0.002912621,2.0605%
1753841400,0.002677535,0.002771074,2.3283%
1753841700,-0.000853939,0.001745303,2.2429%
1753842000,0.000102922,0.003461862,2.2532%
1753842300,0.000386103,0.002310066,2.2918%
1753842600,0.001116999,0.003008423,2.4035%
1753842900,8.74E-05,0.005649268,2.4122%
1753843200,0.000588286,0.001049618,2.4711%
1753843500,-0.000636318,0.0017063,2.4074%
1753843800,-0.000309061,0.001958987,2.3765%
1753844100,0.000799142,0.002609108,2.4564%
1753844400,-0.000419318,0.001436169,2.4145%
1753844700,0.000601043,0.001381914,2.4746%
1753845000,0.000263788,0.002884651,2.5010%
1753845300,0.000322363,0.001882353,2.5332%
1753845600,-0.000476482,0.000968846,2.4856%
1753845900,0.000987026,0.001156223,2.5843%
1753846200,0.000331064,0.001159993,2.6174%
1753846500,-0.000367417,0.002093046,2.5807%
1753846800,-0.000547521,0.000822848,2.5259%
1753847100,0.00118865,0.002467394,2.6448%
1753847400,-0.000501368,0.001108799,2.5946%
1753847700,0.000630038,0.001666273,2.6576%
1753848000,-3.86E-05,0.003360484,2.6538%
1753848300,0.000188478,0.00193482,2.6726%
1753848600,-0.000687793,0.00280711,2.6038%
1753848900,0.000838506,0.001857706,2.6877%
1753849200,0.000331822,0.001926915,2.7209%
1753849500,-1.68E-05,0.001102637,2.7192%
1753849800,0.000937428,0.00247251,2.8129%
