ADAUSDT,AGIXUSDT,ARBUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,SOLUSDT,SUIUSDT,UNIUSDT,XRPUSDT
0.03834772,0.09998083,0.098386765,0.09704423,0.000704289,-0.044743538,0.031820536,-0.018238425,-0.043213367,0.014605403,0.00011158,-0.14026332
0.039243698,0.101165295,0.09359419,0.10450804,0.005521774,-0.043601632,0.028501391,-0.019323945,-0.04347205,0.018725991,-0.001658261,-0.13571143
0.041274905,0.09548104,0.095855474,0.09968066,0.001575828,-0.041437984,0.02788639,-0.01743108,-0.044896066,0.011323452,0.000431061,-0.1371808
0.038257957,0.10407877,0.10154593,0.104463935,-0.004215658,-0.04628706,0.030395031,-0.01840192,-0.04823351,0.017476559,-0.000302255,-0.1430291
0.03847778,0.09759545,0.090523124,0.10064471,-0.001021564,-0.038951457,0.030702353,-0.013924718,-0.040531397,0.015191674,0.000204325,-0.14273071
0.03660035,0.09623277,0.08858669,0.103206515,-0.003092527,-0.034098327,0.026780844,-0.009004891,-0.039261103,0.011615634,0.003162503,-0.1449982
0.047085762,0.09201729,0.083159566,0.10507083,-0.005888403,-0.03458482,0.03211224,-0.005374789,-0.035091877,0.011945009,0.000280738,-0.13431597
0.042822123,0.095600605,0.080025196,0.10896456,-0.004251123,-0.032100976,0.029424906,-0.004602134,-0.027768493,0.008606195,0.002904654,-0.13314319
0.042173147,0.09623325,0.0824219,0.107991695,-0.008948028,-0.03250748,0.025719047,-0.003843367,-0.029972732,0.009757757,0.005973339,-0.1422289
0.0459733,0.088872194,0.07111943,0.10923362,-0.010291874,-0.025318027,0.029368043,-0.002586365,-0.02129513,0.004161358,-0.000364423,-0.12530833
0.040642142,0.08750224,0.06858456,0.10601294,-0.01009512,-0.020481408,0.024769664,0.002963901,-0.016700804,0.005875468,0.002771854,-0.121151924
0.046324134,0.08308864,0.05741763,0.11231506,-0.014829218,-0.02085942,0.032292128,0.007647276,-0.007279396,0.004837871,0.003906608,-0.11381745
0.03881824,0.077736735,0.041868806,0.108477235,-0.029605925,-0.011389017,0.028989196,0.007786989,0.008744955,-0.009783328,0.008353591,-0.105501235
0.0320338,0.07160807,0.038875222,0.11026704,-0.029008746,-0.01031071,0.022515297,0.009611607,0.01609099,-0.011832416,0.0171448,-0.10110968
0.022710204,0.07391918,0.041037202,0.109455466,-0.026740849,-0.011541724,0.025336146,0.012452841,0.021163583,-0.015298665,0.019592881,-0.10132933
0.021787643,0.0710572,0.038381934,0.10782194,-0.026333869,-0.011770844,0.023029923,0.014051795,0.022684336,-0.016067386,0.026671529,-0.100601256
0.022877455,0.0661937,0.036971807,0.113838196,-0.029011011,-0.012735665,0.027457595,0.009932399,0.027197361,-0.015303016,0.02560544,-0.10278696
0.019393802,0.06698096,0.03803897,0.1098783,-0.025584638,-0.01147002,0.020457864,0.010812283,0.023243904,-0.019105077,0.02502048,-0.09686637
